"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","loglik","loglik.se.se"
"1",0,67.6138947670175,0.0879379236198736,-0.318584254199158,0,0,0,0.81932547749561,0,0,0.983155320535509,-150.067226481702,0.00781134173611528
"2",0,-42.4192263526585,0.0806059571094083,0.321166772691019,0,0,0,0.835071436469213,0,0,-1.00443230590687,-149.878595926041,0.00678167325737579
"3",0,-21.9022628922414,0.0913898898821067,-0.324532217028479,0,0,0,0.835868031546551,0,0,0.998289216079818,-149.83291912596,0.0068415854741335
"4",0,-10.0254297270414,0.0850592602917816,0.35250309703225,0,0,0,0.835953948146966,0,0,1.00944943615599,-150.046554225321,0.00599492158171528
"5",0,-36.0915992481057,0.10266411146871,-0.32692260993817,0,0,0,0.843474244350721,0,0,1.0044325240748,-149.858813399882,0.0065212035160724
"6",0,16.9194389715104,0.0989332432033125,0.335296927683126,0,0,0,0.819596416158393,0,0,-1.00513466329714,-149.844780549393,0.00669240379103813
"7",0,54.0422793846475,0.108143899492417,0.327298478382989,0,0,0,0.857806979000909,0,0,1.01342899069339,-149.964706257111,0.0063818979792351
"8",0,-15.1481406477919,0.0967018730945608,-0.325181452312005,0,0,0,0.846532826736432,0,0,-1.01473584398723,-149.85814288918,0.00629327599410707
"9",0,-9.90224691148074,0.0921891594428883,0.310204610200139,0,0,0,0.858325834933339,0,0,-1.00976301941221,-149.953468695612,0.00682536416380104
"10",0,36.5738099484652,0.103574302409667,-0.323166055061962,0,0,0,0.801484061360689,0,0,-1.00122411090519,-149.914837460714,0.00706526912558658
"11",0,42.1558521195218,0.0928990162641643,-0.323790619278946,0,0,0,0.801547035594203,0,0,1.0035826697181,-149.837058917396,0.00690118629917071
"12",0,-31.9109403798731,0.0699468601937711,-0.349375669613657,0,0,0,0.847190248081198,0,0,1.00652451325266,-150.17483006961,0.00593200884975679
"13",0,-20.6723048876744,0.0931011951035757,-0.326557426882726,0,0,0,0.833565353456943,0,0,0.991621994094953,-149.88577631378,0.00703706152253252
