"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","loglik","loglik.se.se"
"1",0,-0.723671613546891,0.0366224830812976,-0.415120792329597,1.22600783118117,0,0,0.0405376188641577,0.0133023968488981,0,0.0495000981158534,0,-47.9346987821123,0.00630171670919203
"2",0,-0.727503242046166,0.0475703300352742,0.408415126918319,1.28457729324566,0,0,0.0285126990106028,0.0202301113928758,0,-0.0901605295909041,0,-47.8451810421952,0.00687648293332419
"3",0,0.721465037479774,0.0549243711395535,0.417690578996158,1.20641612217239,0,0,0.0357570704782773,0.017127385689834,0,0.0772035194829084,0,-47.8501869150616,0.00690816117363806
"4",0,0.715102547426935,0.0550873976763142,-0.405468944314451,1.27282826223194,0,0,0.0364776124435377,0.0141615294966797,0,-0.172704095613418,0,-48.0808439775527,0.00738029004824167
"5",0,-0.743647640891956,0.0588312864111128,-0.406799541052698,1.23990421816095,0,0,0.0351881472927666,0.0209200882107385,0,-0.0507948398361422,0,-47.9776837769661,0.00711329848359868
"6",0,-0.734946447951464,0.0527329697513836,-0.40224652647398,1.28701180926722,0,0,0.0322405137672176,0.019341500129182,0,0.152328236253993,0,-48.1206718858305,0.00765157322427426
"7",0,0.732806098072198,0.0362262109808564,0.41274393732985,1.25248066416957,0,0,0.0384010028408226,0.0152372186927123,0,0.0901590477967418,0,-47.9172563336834,0.00586615835836284
"8",0,0.725118677895896,0.0649024170018644,0.404632844792497,1.22267180246792,0,0,0.0268887941344507,0.0243177200954062,0,-0.0756344027164091,0,-47.8977496994218,0.0101372573201287
"9",0,0.687410842562822,0.0615312198850862,-0.422276009651641,1.21852164110104,0,0,0.0270373408994076,0.016086699515928,0,0.126940364523587,0,-48.324958184365,0.00842299709268341
"10",0,0.700024270906581,0.0525354377417018,-0.423228389424955,1.24396825040465,0,0,0.0316018578307496,0.0197449688354297,0,0.00870598526859952,0,-47.8400757734763,0.00609629775863826
"11",0,-0.701867382504323,0.0519054633674168,-0.403768689903965,1.31004698152914,0,0,0.028611113136336,0.0163389834084542,0,-0.00553738710588505,0,-47.8200358304074,0.00735385178348006
"12",0,0.726867539706486,0.0672125502557936,-0.417582165669283,1.22159339092339,0,0,0.0306051817484851,0.0215020287447038,0,-0.0855720867016491,0,-47.9639372486372,0.00706773912143314
"13",0,-0.683296716370602,0.0608393158103297,0.408481732122033,1.2994236906788,0,0,0.0175978332133666,0.0168618584667758,0,-0.0872433876776149,0,-48.0702477823567,0.00971132500319707
"14",0,0.706377021439917,0.0633540011833987,-0.401545086516674,1.26906566726881,0,0,0.0252208325358839,0.0229685096243938,0,-0.0421937262034272,0,-47.8633056217382,0.00959272577859477
"15",0,0.72304689703192,0.0352391730131786,0.407176126769273,1.24636220097402,0,0,0.0417592834899943,0.0188357779744153,0,-0.107082075976565,0,-48.032733597253,0.00650233272860117
"16",0,-0.713528834134216,0.0506729699259747,0.407380639225429,1.23398606475564,0,0,0.031769623291377,0.0162841065865592,0,-0.0242264064791374,0,-47.7349145186828,0.00854712992047874
"17",0,0.682568491794921,0.0483656282537986,0.421905163298706,1.25316694927364,0,0,0.0348208162728162,0.0206544279805411,0,0.20919015240112,0,-48.451242586041,0.00672483020533095
"18",0,-0.727197232829963,0.0417954277440749,0.409249940252491,1.22499722182586,0,0,0.032775430065573,0.015995713542632,0,0.0171512412040992,0,-47.9092733632636,0.00789930844518454
"19",0,0.713352216636379,0.0557114467193569,0.402249517225209,1.27308156944768,0,0,0.0301752509860163,0.0188534159071819,0,-0.0886869023405256,0,-47.750980461464,0.00831600637337809
"20",0,-0.70167573590009,0.0509342840472256,-0.398855289817189,1.25713661397471,0,0,0.0308624129858537,0.0171837768102784,0,-0.11756525447835,0,-47.8691107935678,0.0103194392542657
"21",0,0.719860961474031,0.0545842256020728,0.412562440000164,1.24798086532071,0,0,0.0308664951215585,0.0150531295435715,0,0.10520235093868,0,-47.772535823082,0.0074106776478857
"22",0,0.703956742964139,0.0432137406021462,0.412397880576743,1.27530975380999,0,0,0.0331317044107676,0.0185023662975986,0,0.0800111849636065,0,-47.7635181104008,0.00638046075027805
"23",0,0.765655713683967,0.0476410083406329,-0.410558367719369,1.21452955754944,0,0,0.0362607900987997,0.0203217682092293,0,-0.0556598141140732,0,-48.1082168716444,0.00660383917204192
"24",0,-0.732241577385179,0.0450203828639727,-0.402730119795255,1.22844491949182,0,0,0.0318900510841469,0.0169385060663833,0,0.0210657973957138,0,-47.8583344891041,0.00904878482726516
"25",0,-0.70760532866127,0.0515118406097384,0.412200993774366,1.22387581375628,0,0,0.0330827518551166,0.0147010503883764,0,-0.0308367558081362,0,-47.8307383181766,0.00784180661009402
"26",0,0.715532880287916,0.0549305029545912,0.411419958572923,1.22188379642415,0,0,0.0362463582326795,0.0167864420450781,0,-0.015639298891261,0,-47.7718204090498,0.00746469526127746
"27",0,0.725669118255274,0.0436506265664866,0.404291204481254,1.26012801769181,0,0,0.0298820874457916,0.0175261362196154,0,0.134219012403994,0,-47.8750025036431,0.00852747185753217
"28",0,0.702621591438553,0.0486727553781186,-0.416523254950399,1.27241896035639,0,0,0.0344972578538655,0.0148760550027848,0,-0.0241008944812394,0,-47.8046122228331,0.00590866922337495
"29",0,-0.723910126235028,0.0501662278455606,0.399772348937533,1.25634584064347,0,0,0.0262258485053764,0.0159893342422647,0,0.0684449888898979,0,-47.9275192564349,0.0103129079033091
"30",0,-0.702310526211482,0.0502571268025573,0.413372403853429,1.25755992724888,0,0,0.0253794756572185,0.0245412749322568,0,-0.102076882795421,0,-47.9882912984564,0.0079471025855085
