"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","loglik","loglik.se.se"
"1",0,0.674049147706029,0.0701723461755471,0.404347057530064,1.28897889947555,0,0,0.0188210236831348,0,0,-0.0986170319627555,0.0261178695614578,-46.9425980617421,0.0116380571925505
"2",0,0.686283231152617,0.057507217358033,-0.410028385262819,1.30274913088327,0,0,0.0248989175684779,0,0,-0.0165194608328341,0.0239274029673439,-46.6423943196573,0.00751775502601024
"3",0,-0.703225387296509,0.0505362967666387,0.417266304473229,1.28245549270002,0,0,0.033543325979316,0,0,0.021335771451425,0.021238143156214,-46.8444837704403,0.00585788842015375
"4",0,0.685472738741031,0.0557684684076003,0.411787176296574,1.29902677913722,0,0,0.0280615894752178,0,0,-0.0633779663364089,0.0193107912586452,-46.7494817327736,0.00706742454430709
"5",0,0.701046359961833,0.0662386414712742,-0.40124061226781,1.27990298240728,0,0,0.0250296093148226,0,0,0.146463625552903,0.0344620096090252,-47.1534240865366,0.0104191485482616
"6",0,0.686505634960235,0.0608481163743933,0.398496024316032,1.30502552560526,0,0,0.0193733151411346,0,0,0.104816607789956,0.0260942021192325,-46.9401288516186,0.0116626231404802
"7",0,-0.685531231186779,0.052835627399791,-0.410249645663324,1.2852599753141,0,0,0.0288219961342143,0,0,0.0661811106254525,0.0332552475332485,-46.9081748910116,0.00734928174363538
"8",0,-0.66693943282761,0.0648706478652495,0.42284824729021,1.30617477533391,0,0,0.0243577691085717,0,0,0.0926810141021003,0.0286568206433278,-46.9936663676501,0.00613805899067642
"9",0,0.686449614373156,0.0440414916743144,0.422602688215255,1.27097316340497,0,0,0.0299311095029369,0,0,-0.00904295273373652,0.0254350614043678,-46.8345311362662,0.00619486442386122
"10",0,-0.698323598409238,0.0727330919001224,0.41209215968545,1.27815621589781,0,0,0.0248119313120399,0,0,-0.0333726032476724,0.0301024499310756,-46.9157198112376,0.00785019378230687
"11",0,0.68516702486438,0.0490252427928086,-0.420761998014347,1.25655286755695,0,0,0.0327960653158478,0,0,-0.0602752481623338,0.0278393226474118,-46.8017352327032,0.00631457272855003
"12",0,-0.6951706992972,0.058381020361093,-0.413797460554711,1.27661611269202,0,0,0.0246361645080185,0,0,-0.00586520136336484,0.0192890443192171,-46.8406276353374,0.00783208732111258
"13",0,-0.685901774118117,0.0650083375934929,-0.404776204975897,1.29705585375829,0,0,0.018008105197181,0,0,0.0343358193758649,0.0228832000742966,-46.946475279063,0.01081033822047
"14",0,-0.699007689531869,0.0708333448192367,-0.411982918472699,1.27368755924536,0,0,0.0189858865842533,0,0,0.0308543723211245,0.0303184997784131,-46.9963064935918,0.00931870110571258
"15",0,0.666523360054935,0.064365201721595,-0.419645778563069,1.31587994786781,0,0,0.0196775222774276,0,0,-0.0847497911219494,0.0226230202427491,-46.8733276548651,0.0068706946741597
"16",0,-0.675801481731966,0.0514304415406196,0.415029299994271,1.3100119826812,0,0,0.0246746922834763,0,0,-0.0824580472963935,0.0213736046710513,-46.7474793121629,0.00684829439463267
"17",0,-0.688423500182591,0.0452026606683175,0.412606960775951,1.26858713693311,0,0,0.0334234477185318,0,0,0.0293267372721563,0.0229161679607341,-46.7216856204832,0.00690004469623944
"18",0,0.70047081730104,0.0449050224045704,0.417784049680499,1.22519943631248,0,0,0.0366394732475054,0,0,0.11643287929534,0.0267623891670045,-46.865873737679,0.00680352712029382
"19",0,0.688199165991042,0.0571493396178439,-0.417014859410116,1.25638240450104,0,0,0.0287290990782612,0,0,-0.0475800130913621,0.0247717520937696,-46.6756870329394,0.00732537157400779
"20",0,-0.701436289256261,0.0611563887624502,-0.406332251622486,1.32302071152213,0,0,0.0229760112739257,0,0,0.0705351773786329,0.02625924845301,-46.863724118763,0.00775947815615256
"21",0,0.69899759425148,0.0537719716932435,0.409490358937305,1.31199374359126,0,0,0.0273011368555265,0,0,0.0258733881858503,0.0225414262161484,-46.7329013374419,0.00675337722642045
"22",0,0.688876005914435,0.0523250318795955,-0.413194892122414,1.32097834652579,0,0,0.0224492252867227,0,0,-0.00750733105445653,0.0242647054836649,-46.723023497111,0.00699505017409937
"23",0,0.68947853601517,0.0524225583917422,-0.406723386111478,1.29745289668509,0,0,0.0193290726173488,0,0,-0.0968656832805119,0.0269368744633053,-47.0055242300219,0.00964505026766155
"24",0,0.679897414766248,0.0661395360262937,-0.407921296356713,1.2650962973826,0,0,0.0227921407173191,0,0,0.0890770090284186,0.0251035979196324,-46.817990056224,0.0104078467475768
"25",0,-0.703658845223616,0.0659896455951256,-0.403108454704795,1.29353727072421,0,0,0.0245618391215277,0,0,-0.0159740669861635,0.026112153979679,-46.7803141584591,0.00873395520413142
"26",0,-0.693103502151742,0.0586326520949922,0.413473743373293,1.31461229156163,0,0,0.0229200973787098,0,0,-0.146964744767746,0.0253605444361832,-46.9886215327972,0.00741169848464779
"27",0,0.705326854537379,0.0565932030549412,-0.405752831041336,1.29765438245476,0,0,0.029599735539508,0,0,0.119371926851115,0.0329206610079527,-47.0859363943176,0.0072654726098129
"28",0,-0.70081916196425,0.0553375208855484,0.410921952415432,1.24891537626119,0,0,0.0268992009301478,0,0,0.0848087576300402,0.0297519522673055,-46.8004055727384,0.00850399027067189
"29",0,0.673638921504534,0.063337925016472,-0.412444843547226,1.31100545842441,0,0,0.0191861263871288,0,0,-0.00550000529063027,0.0222130032260536,-46.8185901541553,0.00829221441125776
"30",0,0.708657858498005,0.043502523451702,0.409228125604304,1.27224098678932,0,0,0.0317897081668167,0,0,0.00567741834366492,0.0195815559968581,-46.8020385126363,0.00713385132508466
"31",0,0.69846659016042,0.049012732123933,-0.408020635836352,1.28099367444381,0,0,0.0254670038059013,0,0,-0.094177151754456,0.0267110635411196,-46.7500111502712,0.00853491597674534
"32",0,-0.698903629092148,0.0668594043369528,0.407626437178853,1.3003511503677,0,0,0.0256615856313097,0,0,0.0855777474446133,0.0300987804829147,-46.9450047722573,0.00778197227371334
"33",0,0.678025953004021,0.0653671726553832,0.406886887538031,1.32935413411458,0,0,0.0166940762555323,0,0,0.0919299807401606,0.0275817395886678,-46.9285999886129,0.00930245572683253
"34",0,0.704703111825272,0.0415989684149815,-0.41715381922572,1.25972453491308,0,0,0.0346341701531731,0,0,-0.0865986956457048,0.0241144996112521,-46.798058499419,0.00612437994338531
"35",0,0.705873081567589,0.0452587472724359,-0.403521432214925,1.21474235671692,0,0,0.0344387356532312,0,0,-0.176339496627339,0.0280431824796512,-47.2137939494037,0.0111439775379772
"36",0,-0.688572501918786,0.0633356311512913,0.411358810840865,1.27350124381175,0,0,0.0326496218355686,0,0,-0.127786557627409,0.0257603435580077,-46.9006003519653,0.00708651809554582
"37",0,-0.690481741897097,0.0531611857207838,0.415138695484423,1.28193561539926,0,0,0.030970824083746,0,0,0.0324547179721396,0.0274818708344707,-46.7450956236322,0.00639637611453569
"38",0,-0.737992169311115,0.0366072008127835,-0.408331744633771,1.25052674586693,0,0,0.0350789828313061,0,0,0.111542190258798,0.0263673694106039,-47.1329843496047,0.00685380447259233
"39",0,-0.719724812913247,0.0496191875610182,-0.406179543133553,1.27461685859711,0,0,0.0303103987770774,0,0,0.0598638909913784,0.0274019877067474,-46.808205144561,0.00761668883702954
"40",0,-0.725374244107226,0.0719285347548458,0.407453517796169,1.27406650041938,0,0,0.0269491439087302,0,0,-0.0826055856001992,0.0218376674870895,-47.1276882238646,0.00776021327910657
"41",0,0.690279171744955,0.0697732813927609,0.415401650780281,1.26503315397405,0,0,0.026359611833712,0,0,-0.14831437439817,0.0207735552468106,-47.0537276535835,0.00821709135266576
"42",0,-0.713429653873307,0.059884992450505,-0.408584424983985,1.2539991642237,0,0,0.0262198266754434,0,0,0.0566222833917718,0.0217324405157788,-46.8391384315872,0.00878047772238516
"43",0,0.674612536169247,0.0658127088281926,-0.421014360482161,1.25671818089873,0,0,0.0240778586569603,0,0,0.0868689122279824,0.0305570004207993,-46.9301387194116,0.00792090008178299
"44",0,0.660312209593543,0.0720515122445384,0.4067956139958,1.3259682199276,0,0,0.0166464941704677,0,0,-0.0226599058797245,0.028562371291521,-47.0342783726746,0.00967804035626281
"45",0,-0.684128990361153,0.0638989986097487,-0.419261000452619,1.30308861825892,0,0,0.0205860039742963,0,0,0.0561860906219996,0.0256645498600222,-46.8067115529453,0.00691678216748428
"46",0,-0.71609183694909,0.0460574532853385,0.410840701423467,1.25763819755554,0,0,0.0353725246416903,0,0,0.0330672517089628,0.0229348209921043,-46.7846685490765,0.00672286677468892
"47",0,0.685381334250495,0.0397883781266956,-0.405888255487863,1.29783917445332,0,0,0.026799699036187,0,0,-0.0932643006032239,0.0263432668250945,-46.9768534971152,0.00830567395917446
"48",0,-0.705144507704697,0.0492532913923445,-0.410536997055299,1.27703487696494,0,0,0.0287112021646614,0,0,-0.0887966310316865,0.0254824377335703,-46.6814011090556,0.00758343110083174
